Kanji	Onyomi	Kunyomi	English
宏	コウ ヒロ.		wide, large
唆	サ	そそのか.す	tempt, seduce, instigate, promote
阻	ソ	はば.む	thwart, separate from, prevent, obstruct, deter, impede
泰	タ		peaceful, calm, peace, easy, Thailand
賄	ワイ	まかな.う	bribe, board, supply, finance
撲	ボク		slap, strike, hit, beat, tell, speak
堀	クツ ホ		ditch, moat, canal
菊	キク		chrysanthemum
絞	コウ	しぼ.る し.める し.まる	strangle, constrict, wring
縁	エン -ネン	ふち ふちど.る ゆかり よすが へり えにし	affinity, relation, connection, edge, border, verge, brink
唯	ユイ イ タ		solely, only, merely, simply
膨	ボウ	ふく.らむ ふく.れる	swell, get fat, thick
矢	シ	や	dart, arrow
耐	タイ タ.エ		-proof, enduring
塾	ジュク		cram school, private school
漏	ロウ	も.る も.れる も.らす	leak, escape, time
慶	ケイ ヨロコ.		jubilation, congratulate, rejoice, be happy
猛	モ		fierce, rave, rush, become furious, wildness, strength
芳	ホウ カンバ.シ		perfume, balmy, flavorable, fragrant
懲	チョウ	こ.りる こ.らす こ.らしめる	penal, chastise, punish, discipline
剣	ケン	つるぎ	sabre, sword, blade, clock hand
彰	ショ		patent, clear
棋	キ	ご	chess piece, Japanese chess, shogi
丁	チョウ テイ チン トウ チ	ひのと	street, ward, town, counter for guns, tools, leaves or cakes of something, even number, 4th calendar sig
恒	コウ ツネ	つね	constancy, always
揚	ヨウ ア.ガ	あ.げる -あ.げ	hoist, fry in deep fat
冒	ボウ	おか.す	risk, face, defy, dare, damage, assume (a name)
之	シ コ	の これ おいて ゆく	of, this
倫	リ		ethics, companion
陳	チン ヒ.ネ		exhibit, state, relate, explain
憶	オク		recollection, think, remember
潜	セン	ひそ.む もぐ.る かく.れる くぐ.る ひそ.める	submerge, conceal, hide, lower (voice), hush
梨	リ ナ		pear tree
仁	ジン ニ ニ		humanity, virtue, benevolence, charity, man, kernel
克	コク カ.		overcome, kindly, skillfully
岳	ガク タ		point, peak, mountain
概	ガイ	おうむ.ね	outline, condition, approximation, generally
拘	コウ	かか.わる	arrest, seize, concerned, adhere to, despite
墓	ボ	はか	grave, tomb
黙	モク ボク	だま.る もだ.す	silence, become silent, stop speaking, leave as is
須	ス シュ モト.メ	すべから.く すべし ひげ まつ もち.いる	ought, by all means, necessarily
偏	ヘン	かたよ.る	partial, side, left-side radical, inclining, biased
雰	フン		atmosphere, fog
遇	グウ	あ.う	interview, treat, entertain, receive, deal with
諮	シ	はか.る	consult with
狭	キョウ コウ	せま.い せば.める せば.まる	cramped, narrow, contract, tight
卓	タ		eminent, table, desk, high
亀	キ キュウ キン カ		tortoise, turtle
糧	リョウ ロウ	かて	provisions, food, bread
簿	ボ		register, record book
炉	ロ	いろり	hearth, furnace, kiln, reactor
牧	ボク マ		breed, care for, shepherd, feed, pasture
殊	シュ	こと	particularly, especially, exceptionally
殖	ショク フ.ヤ	ふ.える	augment, increase, multiply, raise
艦	カン		warship
輩	ハイ	-ばら やから やかい ともがら	comrade, fellow, people, companions
穴	ケツ ア		hole, aperture, slit, cave, den
奇	キ	く.しき あや.しい くし めずら.しい	strange, strangeness, curiosity
慢	マン		ridicule, laziness
鶴	カク ツ		crane, stork
謀	ボウ ム	はか.る たばか.る はかりごと	conspire, cheat, impose on, plan, devise, scheme, have in mind, deceive
暖	ダン ノン	あたた.か あたた.かい あたた.まる あたた.める	warmth
昌	ショウ サカ		prosperous, bright, clear
拍	ハク ヒョウ		clap, beat (music)
朗	ロウ アキ.ラ	ほが.らか	melodious, clear, bright, serene, cheerful
寛	カン ユル.ヤ	くつろ.ぐ ひろ.い	tolerant, leniency, generosity, relax, feel at home, be at ease, broadminded
覆	フク	おお.う くつがえ.す くつがえ.る	capsize, cover, shade, mantle, be ruined
胞	ホウ		placenta, sac, sheath
泣	キュウ	な.く	cry, weep, moan
隔	カク	へだ.てる へだ.たる	isolate, alternate, distance, separate, gulf
浄	ジョウ セイ	きよ.める きよ.い	clean, purify, cleanse, exorcise, Manchu Dynasty
没	ボツ モツ	おぼ.れる しず.む ない	drown, sink, hide, fall into, disappear, die
暇	カ	ひま いとま	spare time, rest, leisure, time, leave of absence
肺	ハイ		lungs
貞	テイ サ		upright, chastity, constancy, righteousness
靖	セイ ジョウ ヤス.ンジ		peaceful
鑑	カン カガ	かんが.みる	specimen, take warning from, learn from
飼	シ カ.		domesticate, raise, keep, feed
陰	イン	かげ かげ.る	shade, yin, negative, sex organs, secret, shadow
銘	メ		inscription, signature (of artisan)
随	ズイ	まにまに したが.う	follow, though, notwithstanding, while, during, both, all, obey, submit to, comply, at the mercy of (the wave
烈	レツ ハゲ.シ		ardent, violent, vehement, furious, severe, extreme
尋	ジン ヒ	たず.ねる	inquire, fathom, look for
稿	コウ	わら したがき	draft, copy, manuscript, straw
丹	タン		rust-colored, red, red lead, pills
啓	ケイ サト.	ひら.く	disclose, open, say
